Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,PCA1,PCA2,cluster
29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,319,-0.20540076865552148,-0.5647478556560659,2
28.3,75.6,2.3,12.2,30.8,9.7,1.64,6.0,611,1.0010182865987474,-1.6707602177047767,2
23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,619,1.5947108475673184,0.8255070994315675,0
27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,551,-2.1560795708610905,-0.41246407444364896,3
26.5,70.7,6.9,16.0,21.9,5.6,1.01,12.7,303,-1.7423702116330309,-0.05335952884099817,3
39.4,96.6,14.6,35.5,42.9,17.9,1.82,3.1,674,4.625554309165391,-1.1943504241884138,1
41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,735,2.8205359765035514,-2.311093696425953,1
31.0,59.6,5.0,16.8,24.2,13.6,1.38,6.3,443,0.32986629595374484,-0.9330575423543033,2
29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.4,486,2.829680944983256,-1.3283774160440047,1
33.2,80.5,11.1,24.4,32.0,15.3,1.69,4.9,535,2.2978985951811257,-0.9812626539848408,1
26.3,65.7,1.3,5.5,18.3,5.9,0.85,13.0,529,-2.0709241423458757,-0.897388828511455,3
32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,519,0.6683542223008694,-1.6209154212369503,2
20.0,53.3,3.7,12.9,26.1,6.6,1.09,10.2,538,-1.50169189974061,-0.5262330059937694,3
28.6,53.7,28.9,34.0,23.2,4.5,1.02,11.0,508,-0.5245898644117987,1.8196964197113454,0
22.3,80.5,4.5,12.0,17.2,6.3,1.18,10.4,232,-1.8409585868253067,-0.32888707071423734,3
32.0,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,1.340585098285108,0.435619213329507,2
22.9,75.4,4.5,10.4,18.4,3.7,0.96,14.4,359,-2.4662465944701437,-0.23844314062551253,3
37.6,81.2,28.1,56.6,46.7,13.7,1.85,4.1,560,4.514323956851409,0.8870981421545905,1
34.7,59.3,9.0,15.7,28.5,7.1,1.52,6.1,437,0.5036158396570337,-0.7744414229663875,2
37.8,97.2,0.6,24.6,37.1,11.7,1.13,7.7,803,2.403654117158083,-1.8949982454070808,1
27.6,44.1,3.5,14.4,30.7,9.4,0.97,8.0,338,-1.0510087327529436,-0.578678908356889,3
27.6,77.5,3.8,10.9,9.1,1.7,1.04,14.4,520,-2.3112780749567206,-0.3573893582220857,3
25.6,58.3,0.4,-0.2,25.3,4.5,0.98,10.0,536,-1.6887387493860877,-1.3561963444302003,3
24.6,48.4,8.3,15.4,23.3,4.6,1.03,11.2,461,-1.773951376394788,0.03604979405805854,3
26.2,49.9,0.5,2.0,22.9,2.3,0.94,17.9,581,-2.866987151061542,-0.8317756990947195,3
22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,324,-2.015761652768642,0.9858841200690504,3
30.0,69.2,2.0,3.9,15.3,5.2,1.09,10.1,297,-1.9056255035795706,-0.8901397988210605,3
37.6,72.2,10.1,16.6,32.2,6.3,1.85,3.5,637,2.1215353473247585,-1.348663638701436,2
29.6,65.6,3.4,9.3,20.6,2.9,1.03,10.2,452,-1.5099333700504303,-0.726521918337051,3
44.7,97.9,34.6,57.3,28.1,22.6,1.78,3.5,562,5.1443623397529405,1.0601537437902488,1
23.3,45.2,24.0,29.0,26.6,5.3,0.96,10.9,575,-0.913209652903889,1.3898809067906441,3
35.4,100.2,20.5,33.2,34.4,11.7,1.85,5.1,440,2.9968690208210016,-0.18681206705738557,1
21.8,79.6,7.1,16.8,14.5,6.0,0.91,10.8,455,-1.7324794089600764,-0.0392269350960139,3
27.5,78.9,30.2,34.1,15.3,3.0,0.98,11.1,472,-0.6766687965719093,1.946636155282919,3
28.0,72.2,18.5,25.0,24.9,6.1,1.32,13.2,480,-0.41596747041384313,0.5961948199368471,3
22.2,50.0,2.3,8.4,23.5,3.7,0.96,10.2,547,-1.991325072400338,-0.6505788613592018,3
24.7,64.9,17.3,37.0,27.2,14.9,1.48,5.5,453,1.1718948214782932,0.5791360856656506,2
27.8,62.8,8.7,13.2,29.7,15.8,1.4,8.1,604,0.7442997846315695,-1.1171032551527103,2
17.4,56.5,2.6,6.9,21.0,3.5,0.92,11.6,475,-2.665074599651439,-0.4327058800345579,3
18.1,70.1,3.1,8.1,19.7,5.8,1.18,12.9,273,-2.5298790622501874,-0.35612423625875467,3
25.6,78.1,1.1,5.2,21.3,6.1,0.89,10.9,524,-1.4592555753355922,-1.1745619301762285,3
22.4,69.3,2.2,8.4,19.6,3.0,0.92,10.2,339,-2.3027709823437403,-0.5027644929638492,3
27.5,45.3,2.8,10.1,13.7,4.1,0.82,10.6,236,-2.969566199914881,-0.04473133312101219,3
32.6,65.1,4.1,19.3,28.0,14.5,1.45,6.3,509,1.0233718619456056,-1.1786968998598448,2
31.6,76.7,21.4,26.9,30.1,17.4,1.29,7.6,663,1.9953754419421341,-0.1370674963996742,1
29.0,83.5,31.5,44.4,27.0,-2.8,1.49,5.7,538,1.161164742914619,1.8778861055496787,0
24.9,82.2,19.5,27.9,25.6,2.0,1.54,8.1,458,0.16695573105936137,0.6430010493129361,2
27.7,99.4,17.8,29.9,37.5,9.9,1.74,5.4,588,2.5694333455774703,-0.4046572728981928,1
