,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,PCA1,PCA2,cluster
0,29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,319,-0.20540076865552148,-0.5647478556560659,2
1,28.3,75.6,2.3,12.2,30.8,9.7,1.64,6.0,611,1.0010182865987474,-1.6707602177047767,2
7,31.0,59.6,5.0,16.8,24.2,13.6,1.38,6.3,443,0.32986629595374484,-0.9330575423543033,2
11,32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,519,0.6683542223008694,-1.6209154212369503,2
15,32.0,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,1.340585098285108,0.435619213329507,2
18,34.7,59.3,9.0,15.7,28.5,7.1,1.52,6.1,437,0.5036158396570337,-0.7744414229663875,2
27,37.6,72.2,10.1,16.6,32.2,6.3,1.85,3.5,637,2.1215353473247585,-1.348663638701436,2
36,24.7,64.9,17.3,37.0,27.2,14.9,1.48,5.5,453,1.1718948214782932,0.5791360856656506,2
37,27.8,62.8,8.7,13.2,29.7,15.8,1.4,8.1,604,0.7442997846315695,-1.1171032551527103,2
43,32.6,65.1,4.1,19.3,28.0,14.5,1.45,6.3,509,1.0233718619456056,-1.1786968998598448,2
46,24.9,82.2,19.5,27.9,25.6,2.0,1.54,8.1,458,0.16695573105936137,0.6430010493129361,2
55,25.7,69.3,15.7,25.0,27.7,10.6,1.44,9.5,482,0.31567618702048444,0.15437437845378732,2
58,24.6,84.2,5.2,19.2,22.5,9.0,1.48,7.3,623,0.4320855724207335,-0.9183548683479702,2
77,33.5,70.8,8.1,16.3,22.0,15.9,1.63,5.1,527,1.3538430360533673,-1.1880547586649408,2
78,33.1,52.0,7.2,15.9,38.9,12.1,1.46,7.3,452,0.91238599988611,-1.0785264950099074,2
88,41.5,68.2,3.4,15.4,24.5,6.4,1.38,4.8,748,1.3952737674116447,-1.63063541340811,2
90,31.3,73.7,20.3,30.7,31.5,12.5,1.76,7.3,512,1.8939376372694872,0.1250424869061628,2
93,24.1,59.3,14.4,33.1,31.0,16.7,2.0,5.3,622,2.06465351186939,-0.17915698718599757,2
97,32.0,70.7,8.4,11.3,24.5,6.1,1.6,8.2,382,-0.08105923317262605,-0.8115093948498995,2
100,33.0,56.8,1.9,5.0,36.1,7.6,1.75,7.5,481,0.5305594660321801,-1.8158832089431518,2
101,30.1,86.8,7.3,22.4,27.9,6.0,1.29,6.0,690,1.082242219034979,-0.9119811585790756,2
103,27.4,81.5,18.9,30.4,22.6,12.8,1.55,5.1,341,1.062233323586277,0.4103172438103313,2
105,30.8,68.9,2.0,11.5,23.6,13.0,1.46,7.1,638,0.6424591196016807,-1.6037667659316834,2
106,27.7,78.7,1.1,20.5,28.2,9.8,1.53,5.5,449,0.6902449154200402,-1.1577215114427004,2
107,33.3,82.6,1.2,5.6,30.1,5.9,1.32,5.9,310,0.06218894987702371,-1.6462483170066982,2
